slug,min_precip,max_precip
atriplex-nummularia,100,500
atriplex-polycarpa,0,400
atriplex-semibaccata,200,500
atriplex-tridentata,100,400
atriplex-welshii,100,400
atriplex-×aptera,300,-1
aurinia-saxatilis-subsp-orientalis,700,-1
avenella-flexuosa,800,1400
avicennia-germinans,800,2100
axonopus-compressus,1000,2600
baccharis-pilularis,200,1100
baccharis-salicina,200,500
baccharis-sarothroides,0,300
bacopa-rotundifolia,600,1700
balsamorhiza-careyana,100,600
balsamorhiza-hookeri,200,600
balsamorhiza-macrophylla,300,1100
balsamorhiza-sagittata,200,700
balsamorhiza-serrata,400,800
bambusa-balcooa,1500,2600
baptisia-tinctoria,800,1600
bassia-hyssopifolia,100,700
bassia-scoparia,200,1100
batis-maritima,700,1600
beckmannia-syzigachne,700,1600
beilschmiedia-pendula,1700,4500
berberis-fendleri,200,1100
berberis-thunbergii,700,1600
berlandiera-lyrata,300,900
betula-cordifolia,300,1600
betula-glandulosa,300,800
betula-lenta-f-uber,200,600
betula-nana,300,800
betula-nigra,700,2100
betula-occidentalis,300,1600
betula-pendula,700,1400
betula-pendula-subsp-mandshurica,300,1600
betula-populifolia,900,1700
betula-pubescens,900,1400
betula-pubescens-var-pumila,900,1400
betula-xalpestris-var-xsukaczewii,200,2600
bidens-aristosa,500,1400
bidens-aurea,800,1400
bidens-campylotheca-subsp-pentamera,800,1400
bidens-cernua,800,1400
bidens-coronata,800,1400
bidens-discoidea,800,1400
bidens-laevis,600,1400
bidens-mitis,800,1400
bidens-pilosa,500,2100
bistorta-bistortoides,200,800
bistorta-plumosa,900,1400
bistorta-vivipara,300,800
blechnum-spicant-subsp-nipponicum,700,1600
blechnum-spicant-var-elongatum,700,1600
boechera-holboellii,300,1600
boechera-stricta,300,1600
boehmeria-cylindrica,800,1300
boltonia-asteroides-var-asteroides,500,1400
boltonia-diffusa,500,1400
borrichia-frutescens,700,1600
bothriochloa-ischaemum,400,1100
bothriochloa-pertusa,500,2100
bothriochloa-saccharoides,200,1300
botrychium-lanceolatum-subsp-angustisegmentum,800,1600
botrychium-lanceolatum-subsp-lanceolatum,800,1600
botrychium-lunaria,300,1400
botrychium-minganense,300,1400
botrychium-virginianum-subsp-europaeum,300,1400
botrypus-virginianus-subsp-virginianus,300,1400
bouteloua-curtipendula,100,700
bouteloua-eriopoda,100,500
bouteloua-hirsuta,100,800
bouteloua-pectinata,100,800
brassica-juncea,700,2100
brassica-juncea-var-japonica,700,2100
brassica-napus,1000,2100
brassica-napus-f-annua,1000,2100
brassica-napus-var-pabularia,1000,2100
brassica-rapa,800,1400
brassica-rapa-var-silvestris,800,1400
brickellia-atractyloides,300,1600
bromelia-pinguin,800,2100
bromus-anomalus,0,600
bromus-biebersteinii,300,800
bromus-carinatus,500,2100
bromus-catharticus,400,800
bromus-hordeaceus-subsp-hordeaceus,300,600
bromus-inermis-ssp-inermis-var-divaricatus,600,1600
bromus-inermis-ssp-inermis-var-inermis,600,1600
bromus-inermis-ssp-pumpellianus-var-arcticus,600,1600
bromus-inermis-ssp-pumpellianus-var-pumpellianus,600,1600
bromus-inermis-subsp-inermis,600,1600
bromus-kalmii,800,1400
bromus-marginatus,200,600
bromus-pumpellianus,300,1100
bromus-rubens-subsp-rubens,100,500
bromus-sitchensis,900,1600
bromus-variegatus-subsp-villosulus,300,1100
bromus-vulgaris,200,600
calamagrostis-arenaria,700,1600
calamagrostis-breweri,600,1600
calamagrostis-canadensis,300,1700
calamagrostis-purpurea,300,1700
calamagrostis-rubescens,400,700
calamagrostis-stricta,600,1600
calliandra-eriophylla,0,300
callitriche-palustris,800,1400
calocedrus-decurrens,500,2100
calochortus-macrocarpus,100,500
caltha-leptosepala,400,1100
caltha-leptosepala-ssp-leptosepala-var-leptosepala,400,1100
caltha-leptosepala-ssp-leptosepala-var-sulfurea,400,1100
caltha-leptosepala-subsp-howellii,400,1100
caltha-palustris,700,1600
calycocarpum-lyonii,800,1400
camassia-quamash,400,1400
camassia-quamash-subsp-azurea,400,1400
camassia-quamash-subsp-breviflora,400,1400
camassia-quamash-subsp-intermedia,400,1400
camassia-quamash-subsp-linearis,400,1400
camassia-quamash-subsp-maxima,400,1400
camassia-quamash-subsp-utahensis,400,1400
camassia-quamash-subsp-walpolei,400,1400
camassia-scilloides,700,1400
campanula-aparinoides,500,1600
capparis-spinosa-subsp-cordifolia,800,5100
caragana-arborescens,300,1400
cardamine-breweri,400,1400
cardamine-bulbosa,700,1400
cardamine-pensylvanica,800,1400
cardamine-umbellata,300,1300
carduus-carlinoides-subsp-carlinoides,800,1600
carduus-carlinoides-subsp-hispanicus,800,1600
carex-acuta,700,1600
carex-albolutescens,400,1700
carex-amphibola,700,1400
carex-angustata,700,1600
carex-annectens,300,1400
carex-aperta,600,1600
carex-aquatilis-var-minor,300,1700
carex-arctiformis,300,1100
carex-atherodes,300,1600
carex-athrostachya,300,1100
carex-atlantica,1000,1400
carex-atlantica-subsp-capillacea,1000,1400
carex-baileyi,300,1400
carex-bebbii,300,1400
carex-bella,200,1100
carex-bigelowii,900,1400
carex-blanda,900,1600
carex-boecheriana,400,1400
carex-breweri,800,1400
carex-bushii,900,1600
carex-canescens-subsp-canescens,300,1100
carex-canescens-subsp-disjuncta,300,1100
carex-capillaris,400,1400
carex-capillaris-subsp-fuscidula,400,1400
carex-capillaris-var-major,400,1400
carex-caryophyllea,200,2600
carex-cephalophora,900,1400
carex-chlorostachys,400,1400
carex-crinita,900,1700
carex-crus-corvi,800,1600
carex-dacica,900,1400
carex-decomposita,900,1400
carex-demissa,200,1100
carex-deweyana,400,1400
carex-douglasii,300,700
carex-echinata-subsp-echinata,900,1400
carex-echinata-subsp-phyllomanica,900,1400
carex-emoryi,300,1700
carex-filifolia,200,700
carex-flava,900,1400
carex-geyeri,300,600
carex-glaucescens,900,1400
carex-grayi,900,1400
carex-halliana,900,1600
carex-hendersonii,400,1000
carex-hormathodes,900,1400
carex-hyalinolepis,800,1400
carex-interior,300,1400
carex-intumescens,900,1400
carex-joorii,900,1400
carex-kobomugi,900,1400
carex-krausei,400,1400
carex-krausei-subsp-porsildiana,400,1400
carex-lacustris,800,1400
carex-lapponica,300,1100
carex-lenticularis-var-lenticularis,900,1400
carex-lepidocarpa,200,1100
carex-leptalea,600,1400
carex-leptalea-subsp-harperi,600,1400
carex-leptalea-subsp-pacifica,600,1400
carex-leptonervia,800,1400
carex-leptopoda,400,1400
carex-livida,300,1200
carex-lupulina,600,1700
carex-lurida,500,1700
carex-luzulina,300,700
carex-lyngbyei,100,3600
