distribution_slug,name,tdwg_code,level,parent_slug,parent_name,lat,lng,species_count
dsv,Desventurados Is.,DSV,3,85,Southern South America,65,-18,61
wdc,District of Columbia,WDC,3,78,Southeastern U.S.A.,38,-76,1236
ind-di,Diu,IND-DI,4,ind,India,20,70,0
dji,Djibouti,DJI,3,24,Northeast Tropical Africa,11,42,801
win-do,Dominica,WIN-DO,4,win,Windward Is.,19,-70,0
dom,Dominican Republic,DOM,3,81,Caribbean,19,-70,4490
mxe-du,Durango,MXE-DU,4,mxe,Mexico Northeast,24,-104,0
eai,East Aegean Is.,EAI,3,34,Western Asia,38,26,2258
eas,Easter Is.,EAS,3,61,South-Central Pacific,-27,-109,170
cpp-ec,Eastern Cape Province,CPP-EC,4,cpp,Cape Provinces,-33,25,0
rue,East European Russia,RUE,3,14,Eastern Europe,55,61,2202
ehm,East Himalaya,EHM,3,40,Indian Subcontinent,27,86,7636
lsi-et,East Timor,LSI-ET,4,lsi,Lesser Sunda Is.,-8,125,0
ecu,Ecuador,ECU,3,83,Western South America,-1,-79,17365
egy,Egypt,EGY,3,20,Northern Africa,26,29,1806
els,El Salvador,ELS,3,80,Central America,13,-88,3637
age-er,Entre Rios,AGE-ER,4,age,Argentina Northeast,-31,-59,0
eqg,Equatorial Guinea,EQG,3,23,West-Central Tropical Africa,1,10,1433
eri,Eritrea,ERI,3,24,Northeast Tropical Africa,15,37,1981
bzl-es,Espirito Santo,BZL-ES,4,bzl,Brazil Southeast,-19,-40,0
blt-es,Estonia,BLT-ES,4,blt,Baltic States,58,25,0
eth,Ethiopia,ETH,3,24,Northeast Tropical Africa,10,38,5495
fal,Falkland Is.,FAL,3,90,Subantarctic Islands,56,-3,321
bze-fn,Fernando de Noronha,BZE-FN,4,bze,Brazil Northeast,-3,-32,0
fij,Fiji,FIJ,3,60,Southwestern Pacific,-18,179,2153
fin,Finland,FIN,3,10,Northern Europe,63,25,2478
fla,Florida,FLA,3,78,Southeastern U.S.A.,27,-81,3917
age-fo,Formosa,AGE-FO,4,age,Argentina Northeast,23,120,0
for,Føroyar,FOR,3,10,Northern Europe,0,0,385
fra,France,FRA,3,12,Southwestern Europe,46,1,6806
ofs,Free State,OFS,3,27,Southern Africa,-28,26,2994
frg,French Guiana,FRG,3,82,Northern South America,4,-52,4762
chs-fj,Fujian,CHS-FJ,4,chs,China Southeast,26,117,0
gab,Gabon,GAB,3,23,West-Central Tropical Africa,0,11,4968
gal,Galápagos,GAL,3,83,Western South America,0,-90,917
gam,Gambia,GAM,3,22,West Tropical Africa,13,-15,950
chn-gs,Gansu,CHN-GS,4,chn,China North-Central,38,101,0
tvl-ga,Gauteng,TVL-GA,4,tvl,Northern Provinces,-25,28,0
geo,Georgia,GEO,3,78,Southeastern U.S.A.,41,44,3288
ger,Germany,GER,3,11,Middle Europe,51,10,4652
gha,Ghana,GHA,3,22,West Tropical Africa,8,-1,3285
spa-gi,Gibraltar,SPA-GI,4,spa,Spain,36,-5,0
gil,Gilbert Is.,GIL,3,60,Southwestern Pacific,39,-91,224
ind-go,Goa,IND-GO,4,ind,India,15,74,0
bzc-go,Goias,BZC-GO,4,bzc,Brazil West-Central,-15,-50,0
grb,Great Britain,GRB,3,10,Northern Europe,54,-3,4203
grc,Greece,GRC,3,13,Southeastern Europe,38,21,5483
gnl,Greenland,GNL,3,70,Subarctic America,77,-42,580
win-gr,Grenada,WIN-GR,4,win,Windward Is.,12,-61,0
tcs-gr,Gruziya,TCS-GR,4,tcs,Transcaucasus,41,44,0
mxi-gu,Guadalupe I.,MXI-GU,4,mxi,Mexican Pacific Is.,29,-97,0
